cycle, observation, reward, action, explored, explore_rate, total reward, average reward, time, model size
1, 1, 0, 0, 0, 0.1, 0, 0, 0.000455, 4
2, 1, 0, 0, 0, 0.1, 0, 0, 0.000477, 5
3, 1, 0, 1, 0, 0.1, 0, 0, 0.000489, 11
4, 1, 1, 0, 0, 0.1, 1, 0.25, 0.000484, 16
5, 0, 1, 1, 0, 0.1, 2, 0.4, 0.000492, 23
6, 1, 1, 1, 0, 0.1, 3, 0.5, 0.000491, 23
7, 1, 1, 1, 0, 0.1, 4, 0.571429, 0.000471, 23
8, 1, 1, 0, 0, 0.1, 5, 0.625, 0.000471, 24
9, 0, 1, 1, 0, 0.1, 6, 0.666667, 0.000476, 22
10, 1, 1, 1, 0, 0.1, 7, 0.7, 0.000466, 22
11, 1, 1, 0, 0, 0.1, 8, 0.727273, 0.000443, 23
12, 1, 0, 1, 0, 0.1, 8, 0.666667, 0.000449, 24
13, 1, 1, 1, 0, 0.1, 9, 0.692308, 0.000455, 25
14, 1, 1, 1, 0, 0.1, 10, 0.714286, 0.000452, 23
15, 1, 1, 1, 0, 0.1, 11, 0.733333, 0.000437, 23
16, 1, 1, 1, 0, 0.1, 12, 0.75, 0.000424, 24
17, 1, 1, 1, 0, 0.1, 13, 0.764706, 0.000448, 23
18, 1, 1, 0, 0, 0.1, 14, 0.777778, 0.000439, 24
19, 1, 0, 1, 0, 0.1, 14, 0.736842, 0.000453, 23
20, 1, 1, 1, 0, 0.1, 15, 0.75, 0.00045, 23
21, 1, 1, 1, 0, 0.1, 16, 0.761905, 0.00044, 23
22, 1, 1, 0, 0, 0.1, 17, 0.772727, 0.000467, 25
23, 1, 0, 1, 0, 0.1, 17, 0.73913, 0.000463, 24
24, 1, 1, 0, 0, 0.1, 18, 0.75, 0.000453, 23
25, 1, 0, 1, 0, 0.1, 18, 0.72, 0.000471, 24
26, 1, 1, 1, 0, 0.1, 19, 0.730769, 0.000464, 24
27, 1, 1, 1, 0, 0.1, 20, 0.740741, 0.000462, 23
28, 1, 1, 1, 0, 0.1, 21, 0.75, 0.000454, 23
29, 1, 1, 1, 0, 0.1, 22, 0.758621, 0.000449, 24
30, 1, 1, 1, 0, 0.1, 23, 0.766667, 0.000452, 23
31, 1, 1, 1, 0, 0.1, 24, 0.774194, 0.00045, 24
32, 1, 1, 1, 0, 0.1, 25, 0.78125, 0.000437, 23
33, 1, 1, 1, 0, 0.1, 26, 0.787879, 0.000448, 23
34, 1, 1, 1, 0, 0.1, 27, 0.794118, 0.000439, 23
35, 1, 1, 1, 0, 0.1, 28, 0.8, 0.000439, 23
36, 1, 1, 1, 0, 0.1, 29, 0.805556, 0.000438, 23
37, 1, 1, 1, 1, 0.1, 30, 0.810811, 1e-06, 23
38, 0, 0, 0, 0, 0.1, 30, 0.789474, 0.000355, 26
39, 1, 0, 1, 0, 0.1, 30, 0.769231, 0.000344, 26
40, 1, 1, 1, 0, 0.1, 31, 0.775, 0.000342, 26
41, 1, 1, 1, 0, 0.1, 32, 0.780488, 0.000339, 26
42, 1, 1, 1, 0, 0.1, 33, 0.785714, 0.00034, 26
43, 0, 0, 0, 0, 0.1, 33, 0.767442, 0.000351, 28
44, 1, 0, 1, 0, 0.1, 33, 0.75, 0.000342, 26
45, 1, 1, 1, 0, 0.1, 34, 0.755556, 0.000342, 26
46, 0, 0, 1, 0, 0.1, 34, 0.73913, 0.000352, 27
47, 0, 0, 1, 1, 0.1, 34, 0.723404, 1e-06, 28
48, 0, 0, 0, 0, 0.1, 34, 0.708333, 0.000354, 28
49, 1, 0, 1, 0, 0.1, 34, 0.693878, 0.000341, 29
50, 1, 1, 1, 0, 0.1, 35, 0.7, 0.000342, 28
51, 1, 1, 1, 0, 0.1, 36, 0.705882, 0.000342, 28
52, 1, 1, 1, 0, 0.1, 37, 0.711538, 0.000341, 29
53, 1, 1, 1, 0, 0.1, 38, 0.716981, 0.000339, 28
54, 1, 1, 1, 0, 0.1, 39, 0.722222, 0.000341, 28
55, 1, 1, 1, 0, 0.1, 40, 0.727273, 0.000339, 28
56, 1, 1, 1, 0, 0.1, 41, 0.732143, 0.00034, 28
57, 1, 1, 1, 0, 0.1, 42, 0.736842, 0.000338, 28
58, 1, 1, 1, 0, 0.1, 43, 0.741379, 0.00034, 28
59, 0, 0, 1, 0, 0.1, 43, 0.728814, 0.000345, 28
60, 1, 1, 1, 0, 0.1, 44, 0.733333, 0.00034, 28
61, 1, 1, 1, 0, 0.1, 45, 0.737705, 0.000344, 28
62, 1, 1, 1, 0, 0.1, 46, 0.741935, 0.000341, 28
63, 0, 0, 0, 0, 0.1, 46, 0.730159, 0.000344, 28
64, 1, 0, 1, 0, 0.1, 46, 0.71875, 0.000339, 29
65, 1, 1, 1, 0, 0.1, 47, 0.723077, 0.000348, 28
66, 1, 1, 1, 0, 0.1, 48, 0.727273, 0.000339, 29
67, 0, 0, 0, 0, 0.1, 48, 0.716418, 0.000343, 28
68, 0, 1, 0, 0, 0.1, 49, 0.720588, 0.000344, 28
69, 1, 0, 1, 0, 0.1, 49, 0.710145, 0.00034, 29
70, 1, 1, 1, 0, 0.1, 50, 0.714286, 0.000338, 28
71, 1, 1, 0, 0, 0.1, 51, 0.71831, 0.000341, 29
72, 1, 0, 1, 0, 0.1, 51, 0.708333, 0.000338, 28
73, 1, 1, 1, 0, 0.1, 52, 0.712329, 0.00034, 28
74, 1, 1, 1, 0, 0.1, 53, 0.716216, 0.000341, 28
75, 1, 1, 1, 0, 0.1, 54, 0.72, 0.000336, 29
76, 0, 0, 0, 0, 0.1, 54, 0.710526, 0.000343, 28
77, 1, 0, 1, 0, 0.1, 54, 0.701299, 0.00034, 28
78, 1, 1, 1, 0, 0.1, 55, 0.705128, 0.000341, 29
79, 1, 1, 1, 0, 0.1, 56, 0.708861, 0.00034, 28
80, 0, 0, 0, 0, 0.1, 56, 0.7, 0.000348, 28
81, 1, 0, 1, 0, 0.1, 56, 0.691358, 0.000341, 28
82, 1, 1, 1, 0, 0.1, 57, 0.695122, 0.000339, 28
83, 1, 1, 1, 0, 0.1, 58, 0.698795, 0.000341, 28
84, 1, 1, 1, 0, 0.1, 59, 0.702381, 0.000341, 28
85, 1, 1, 1, 0, 0.1, 60, 0.705882, 0.000341, 28
86, 1, 1, 1, 0, 0.1, 61, 0.709302, 0.000341, 29
87, 1, 1, 1, 0, 0.1, 62, 0.712644, 0.000341, 28
88, 0, 0, 1, 0, 0.1, 62, 0.704545, 0.000343, 29
89, 1, 1, 1, 0, 0.1, 63, 0.707865, 0.00034, 29
90, 1, 1, 1, 0, 0.1, 64, 0.711111, 0.000343, 29
91, 1, 1, 1, 0, 0.1, 65, 0.714286, 0.000341, 30
92, 1, 1, 1, 0, 0.1, 66, 0.717391, 0.000341, 29
93, 1, 1, 1, 0, 0.1, 67, 0.72043, 0.000341, 28
94, 0, 0, 0, 0, 0.1, 67, 0.712766, 0.000343, 28
95, 1, 0, 1, 0, 0.1, 67, 0.705263, 0.00034, 29
96, 1, 1, 1, 0, 0.1, 68, 0.708333, 0.000343, 28
97, 1, 1, 1, 0, 0.1, 69, 0.71134, 0.000344, 29
98, 1, 1, 1, 0, 0.1, 70, 0.714286, 0.00034, 28
99, 1, 1, 1, 0, 0.1, 71, 0.717172, 0.000339, 28
100, 1, 1, 1, 0, 0.1, 72, 0.72, 0.000339, 28
