cycle, observation, reward, action, explored, explore_rate, total reward, average reward, time, model size
1, 0, 0, 6, 1, 0.9999, 0, 0, 4e-06, 1
2, 24, 3, 6, 1, 0.999899, 3, 1.5, 2e-06, 1
3, 0, 0, 1, 1, 0.999898, 3, 1, 4.8e-05, 344
4, 16392, 3, 8, 1, 0.999897, 6, 1.5, 0.000138, 1588
5, 16425, 3, 7, 1, 0.999896, 9, 1.8, 0.000141, 2812
6, 0, 0, 1, 1, 0.999895, 9, 1.5, 0.000135, 3893
7, 147456, 3, 1, 1, 0.999894, 12, 1.71429, 0.000136, 4849
8, 0, 0, 7, 1, 0.999893, 12, 1.5, 0.000133, 5846
9, 32772, 3, 1, 1, 0.999892, 15, 1.66667, 0.000138, 6999
10, 0, 0, 0, 1, 0.999891, 15, 1.5, 0.000135, 8029
11, 65664, 3, 1, 1, 0.99989, 18, 1.63636, 0.000151, 9139
12, 82560, 3, 5, 1, 0.999889, 21, 1.75, 0.000138, 10279
13, 0, 0, 4, 1, 0.999888, 21, 1.61538, 0.000144, 11334
14, 264, 3, 5, 1, 0.999887, 24, 1.71429, 0.00014, 12479
15, 8520, 3, 4, 1, 0.999886, 27, 1.8, 0.000138, 13643
16, 0, 0, 3, 1, 0.999885, 27, 1.6875, 0.000117, 14655
17, 1032, 3, 8, 1, 0.999884, 30, 1.76471, 0.000122, 15742
18, 1545, 3, 4, 1, 0.999883, 33, 1.83333, 0.000119, 16858
19, 0, 0, 6, 1, 0.999882, 33, 1.73684, 0.000116, 17805
20, 2064, 3, 7, 1, 0.999881, 36, 1.8, 0.000119, 18925
21, 133140, 3, 8, 1, 0.99988, 39, 1.85714, 0.000133, 20017
22, 0, 5, 7, 1, 0.999879, 44, 2, 0.000118, 21115
23, 132, 3, 4, 1, 0.999878, 47, 2.04348, 0.000134, 22030
24, 131460, 3, 0, 1, 0.999877, 50, 2.08333, 0.000121, 23118
25, 0, 0, 4, 1, 0.999876, 50, 2, 0.000121, 23970
26, 384, 3, 6, 1, 0.999875, 53, 2.03846, 0.000117, 24934
27, 131472, 3, 7, 1, 0.999874, 56, 2.07407, 0.000119, 25961
28, 139668, 3, 4, 1, 0.999873, 59, 2.10714, 0.000118, 27114
29, 0, 0, 4, 1, 0.999872, 59, 2.03448, 0.000117, 28082
30, 33024, 3, 5, 1, 0.999871, 62, 2.06667, 0.000115, 28919
31, 33120, 3, 0, 1, 0.99987, 65, 2.09677, 0.000119, 30054
32, 100704, 3, 6, 1, 0.999869, 68, 2.125, 0.000118, 31160
33, 0, 0, 8, 1, 0.999868, 68, 2.06061, 0.000134, 32152
34, 513, 3, 2, 1, 0.999867, 71, 2.08824, 0.000116, 33169
35, 135681, 3, 8, 1, 0.999866, 74, 2.11429, 0.000108, 34277
36, 0, 0, 4, 1, 0.999865, 74, 2.05556, 0.000121, 35310
37, 131328, 3, 1, 1, 0.999864, 77, 2.08108, 0.000131, 35967
38, 147744, 3, 2, 1, 0.999863, 80, 2.10526, 0.00012, 37093
39, 151842, 3, 0, 1, 0.999862, 83, 2.12821, 0.000122, 38252
40, 0, 0, 2, 1, 0.999861, 83, 2.075, 0.000118, 39197
41, 4104, 3, 7, 1, 0.99986, 86, 2.09756, 0.000128, 40226
42, 0, 0, 8, 1, 0.999859, 86, 2.04762, 0.000105, 41211
43, 8193, 3, 8, 1, 0.999858, 89, 2.06977, 0.000112, 41993
44, 0, 0, 2, 1, 0.999857, 89, 2.02273, 0.000109, 42959
45, 135168, 3, 8, 1, 0.999856, 92, 2.04444, 9.3e-05, 43770
46, 167937, 3, 0, 1, 0.999855, 95, 2.06522, 9.9e-05, 44845
47, 0, 0, 6, 1, 0.999854, 95, 2.02128, 0.000102, 45799
48, 2064, 3, 5, 1, 0.999853, 98, 2.04167, 0.00012, 46384
49, 2136, 3, 6, 1, 0.999852, 101, 2.06122, 0.000108, 47494
50, 0, 0, 2, 1, 0.999851, 101, 2.02, 0.000103, 48442
51, 36864, 3, 5, 1, 0.99985, 104, 2.03922, 9.4e-05, 49100
52, 36930, 3, 1, 1, 0.999849, 107, 2.05769, 0.000103, 50238
53, 0, 0, 0, 1, 0.999848, 107, 2.01887, 9.4e-05, 51183
54, 98304, 3, 5, 1, 0.999847, 110, 2.03704, 9.6e-05, 51877
55, 98370, 3, 8, 1, 0.999846, 113, 2.05455, 0.000103, 52949
56, 0, 0, 8, 1, 0.999845, 113, 2.01786, 9.2e-05, 53923
57, 2049, 3, 6, 1, 0.999844, 116, 2.03509, 8.4e-05, 54699
58, 133137, 3, 6, 1, 0.999843, 119, 2.05172, 8.6e-05, 55821
59, 0, 0, 0, 1, 0.999842, 119, 2.01695, 8.4e-05, 56817
60, 98304, 3, 5, 1, 0.999841, 122, 2.03333, 8.2e-05, 57404
61, 98376, 3, 1, 1, 0.99984, 125, 2.04918, 8.8e-05, 58276
62, 0, 0, 0, 1, 0.999839, 125, 2.01613, 9.4e-05, 59212
63, 98304, 3, 8, 1, 0.999838, 128, 2.03175, 8.4e-05, 59716
64, 106497, 3, 2, 1, 0.999837, 131, 2.04688, 8.8e-05, 60746
65, 0, 0, 5, 1, 0.999836, 131, 2.01538, 8.6e-05, 61742
66, 8256, 3, 8, 1, 0.999835, 134, 2.0303, 8.8e-05, 62789
67, 8265, 3, 0, 1, 0.999834, 137, 2.04478, 8.7e-05, 63884
68, 106569, 3, 5, 1, 0.999833, 140, 2.05882, 9.3e-05, 64945
69, 0, 0, 8, 1, 0.999832, 140, 2.02899, 9e-05, 65951
70, 8193, 3, 0, 1, 0.999831, 143, 2.04286, 7.5e-05, 66518
71, 73857, 3, 1, 1, 0.99983, 146, 2.05634, 8.6e-05, 67514
72, 90273, 3, 6, 1, 0.999829, 149, 2.06944, 0.000101, 68640
73, 0, 0, 3, 1, 0.999828, 149, 2.0411, 8.6e-05, 69623
74, 9216, 3, 0, 1, 0.999827, 152, 2.05405, 8.3e-05, 70531
75, 74760, 3, 2, 1, 0.999826, 155, 2.06667, 8.6e-05, 71517
76, 0, 0, 4, 1, 0.999825, 155, 2.03947, 7.5e-05, 72421
77, 2304, 3, 5, 1, 0.999824, 158, 2.05195, 7.9e-05, 73165
78, 2376, 3, 4, 1, 0.999823, 161, 2.0641, 8.6e-05, 74168
79, 0, 0, 2, 1, 0.999822, 161, 2.03797, 8e-05, 75060
80, 36864, 3, 4, 1, 0.999821, 164, 2.05, 7.3e-05, 75627
81, 39168, 3, 8, 1, 0.99982, 167, 2.06173, 7.6e-05, 76683
82, 39201, 3, 1, 1, 0.999819, 170, 2.07317, 9.2e-05, 77810
83, 0, 0, 4, 1, 0.999818, 170, 2.04819, 7.5e-05, 78734
84, 288, 3, 3, 1, 0.999817, 173, 2.05952, 7.5e-05, 79611
85, 1320, 3, 4, 1, 0.999816, 176, 2.07059, 7.5e-05, 80680
86, 0, 0, 3, 1, 0.999815, 176, 2.04651, 7.5e-05, 81561
87, 9216, 3, 1, 1, 0.999814, 179, 2.05747, 7.1e-05, 82086
88, 25602, 3, 2, 1, 0.999813, 182, 2.06818, 7.2e-05, 83168
89, 0, 0, 2, 1, 0.999812, 182, 2.04494, 7.2e-05, 84016
90, 4128, 3, 2, 1, 0.999811, 185, 2.05556, 7.3e-05, 84917
91, 0, 0, 0, 1, 0.99981, 185, 2.03297, 8.2e-05, 85752
92, 98304, 3, 7, 1, 0.999809, 188, 2.04348, 6.7e-05, 86319
93, 98340, 3, 5, 1, 0.999808, 191, 2.05376, 8.3e-05, 87435
94, 106596, 3, 8, 1, 0.999807, 194, 2.06383, 7.6e-05, 88498
95, 0, 1, 5, 1, 0.999806, 195, 2.05263, 7.8e-05, 89500
96, 72, 3, 7, 1, 0.999805, 198, 2.0625, 6.9e-05, 90370
97, 0, 0, 2, 1, 0.999804, 198, 2.04124, 7e-05, 91309
98, 36864, 3, 4, 1, 0.999803, 201, 2.05102, 6.3e-05, 91855
99, 37248, 3, 2, 1, 0.999802, 204, 2.06061, 6.9e-05, 92424
100, 0, 0, 8, 1, 0.999801, 204, 2.04, 7e-05, 93374
101, 129, 3, 6, 1, 0.9998, 207, 2.0495, 7.6e-05, 94224
102, 32913, 3, 6, 1, 0.999799, 210, 2.05882, 7e-05, 95264
103, 0, 0, 0, 1, 0.999798, 210, 2.03883, 7.7e-05, 96152
104, 98304, 3, 2, 1, 0.999797, 213, 2.04808, 6.3e-05, 96677
105, 102912, 3, 4, 1, 0.999796, 216, 2.05714, 6.7e-05, 97760
106, 0, 0, 8, 1, 0.999795, 216, 2.03774, 6.8e-05, 98742
107, 32769, 3, 6, 1, 0.999794, 219, 2.04673, 6.6e-05, 99408
108, 32793, 3, 7, 1, 0.999793, 222, 2.05556, 0.000121, 100473
109, 0, 0, 1, 1, 0.999792, 222, 2.0367, 6.9e-05, 101481
110, 24576, 3, 7, 1, 0.999791, 225, 2.04545, 7.4e-05, 102095
111, 24708, 3, 4, 1, 0.99979, 228, 2.05405, 7.4e-05, 103135
112, 0, 5, 6, 1, 0.999789, 233, 2.08036, 7.1e-05, 104187
113, 32784, 3, 7, 1, 0.999788, 236, 2.0885, 7e-05, 105004
114, 33300, 3, 7, 1, 0.999787, 239, 2.09649, 7.2e-05, 106080
115, 0, 0, 4, 1, 0.999786, 239, 2.07826, 6.2e-05, 106962
116, 131328, 3, 2, 1, 0.999785, 242, 2.08621, 6.1e-05, 107533
117, 135426, 3, 6, 1, 0.999784, 245, 2.09402, 6.6e-05, 108623
118, 0, 5, 8, 1, 0.999783, 250, 2.11864, 6.4e-05, 109580
119, 33, 3, 3, 1, 0.999782, 253, 2.12605, 6.8e-05, 110512
120, 9249, 3, 1, 1, 0.999781, 256, 2.13333, 6.5e-05, 111595
121, 25761, 3, 5, 1, 0.99978, 259, 2.1405, 6.7e-05, 112647
122, 0, 0, 6, 1, 0.999779, 259, 2.12295, 6.4e-05, 113631
123, 24, 3, 4, 1, 0.999778, 262, 2.13008, 6.4e-05, 114541
124, 131352, 3, 3, 1, 0.999777, 265, 2.1371, 6.6e-05, 115532
125, 132504, 3, 4, 1, 0.999776, 268, 2.144, 6.8e-05, 116651
126, 0, 0, 6, 1, 0.999775, 268, 2.12698, 6.3e-05, 117544
127, 32784, 3, 5, 1, 0.999774, 271, 2.13386, 6.3e-05, 118111
128, 41040, 3, 6, 1, 0.999773, 274, 2.14062, 7e-05, 119172
129, 0, 0, 7, 1, 0.999772, 274, 2.12403, 7.4e-05, 120082
130, 131076, 3, 6, 1, 0.999771, 277, 2.13077, 7.5e-05, 120720
131, 133140, 3, 7, 1, 0.99977, 280, 2.1374, 7.1e-05, 121765
132, 0, 0, 5, 1, 0.999769, 280, 2.12121, 6.4e-05, 122809
133, 576, 3, 6, 1, 0.999768, 283, 2.12782, 6.6e-05, 123621
134, 594, 3, 2, 1, 0.999767, 286, 2.13433, 6.6e-05, 124716
135, 0, 1, 1, 1, 0.999766, 287, 2.12593, 6.2e-05, 125587
136, 16386, 3, 6, 1, 0.999765, 290, 2.13235, 6.6e-05, 126532
137, 24594, 3, 2, 1, 0.999764, 293, 2.13869, 6.7e-05, 127594
